category,case_id,inputs,metric,units,expected,calculated,tolerance,absolute_error,passed
end_to_end,catalog_vega_to_motors,target=Vega;ra_h=18.61564899;dec_deg=38.783689;unix=1783353600;lat_deg=47.6;lon_deg=-52.7;motor_steps=200;ratio=16;rate=400;tick_us=500,azimuth_pulses,pulses,88,88,0,0,true
end_to_end,catalog_vega_to_motors,target=Vega;ra_h=18.61564899;dec_deg=38.783689;unix=1783353600;lat_deg=47.6;lon_deg=-52.7;motor_steps=200;ratio=16;rate=400;tick_us=500,completion_time,us,220000,220000,0,0,true
end_to_end,catalog_polaris_to_motors,target=Polaris;ra_h=2.53030278;dec_deg=89.264111;unix=1783353600;lat_deg=47.6;lon_deg=-52.7;motor_steps=200;ratio=16;rate=400;tick_us=500,altitude,deg,47.79810932,47.79810333,0.01,5.984380472e-06,true
end_to_end,catalog_polaris_to_motors,target=Polaris;ra_h=2.53030278;dec_deg=89.264111;unix=1783353600;lat_deg=47.6;lon_deg=-52.7;motor_steps=200;ratio=16;rate=400;tick_us=500,azimuth,deg,358.946951,358.9469604,0.01,9.430418743e-06,true
end_to_end,catalog_polaris_to_motors,target=Polaris;ra_h=2.53030278;dec_deg=89.264111;unix=1783353600;lat_deg=47.6;lon_deg=-52.7;motor_steps=200;ratio=16;rate=400;tick_us=500,altitude_target,steps,425,425,0,0,true
end_to_end,catalog_polaris_to_motors,target=Polaris;ra_h=2.53030278;dec_deg=89.264111;unix=1783353600;lat_deg=47.6;lon_deg=-52.7;motor_steps=200;ratio=16;rate=400;tick_us=500,azimuth_target,steps,-9,-9,0,0,true
end_to_end,catalog_polaris_to_motors,target=Polaris;ra_h=2.53030278;dec_deg=89.264111;unix=1783353600;lat_deg=47.6;lon_deg=-52.7;motor_steps=200;ratio=16;rate=400;tick_us=500,altitude_final,steps,425,425,0,0,true
end_to_end,catalog_polaris_to_motors,target=Polaris;ra_h=2.53030278;dec_deg=89.264111;unix=1783353600;lat_deg=47.6;lon_deg=-52.7;motor_steps=200;ratio=16;rate=400;tick_us=500,azimuth_final,steps,-9,-9,0,0,true
end_to_end,catalog_polaris_to_motors,target=Polaris;ra_h=2.53030278;dec_deg=89.264111;unix=1783353600;lat_deg=47.6;lon_deg=-52.7;motor_steps=200;ratio=16;rate=400;tick_us=500,altitude_pulses,pulses,425,425,0,0,true
end_to_end,catalog_polaris_to_motors,target=Polaris;ra_h=2.53030278;dec_deg=89.264111;unix=1783353600;lat_deg=47.6;lon_deg=-52.7;motor_steps=200;ratio=16;rate=400;tick_us=500,azimuth_pulses,pulses,9,9,0,0,true
end_to_end,catalog_polaris_to_motors,target=Polaris;ra_h=2.53030278;dec_deg=89.264111;unix=1783353600;lat_deg=47.6;lon_deg=-52.7;motor_steps=200;ratio=16;rate=400;tick_us=500,completion_time,us,1062500,1062500,0,0,true
